"Notes"	"State"	"State Code"	"Gender"	"Gender Code"	"Year"	"Year Code"	"Cause of death"	"Cause of death Code"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	Deaths	Population	Crude Rate
"Total"	"Alabama"	"01"	"Female"	"F"	"2012"	"2012"	"Intentional self-harm by handgun discharge"	"X72"			11	2183862	Unreliable
	"Alabama"	"01"	"Female"	"F"	"2012"	"2012"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"35-39 years"	"35-39"	11	149864	Unreliable
	"Alabama"	"01"	"Female"	"F"	"2012"	"2012"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"50-54 years"	"50-54"	11	178767	Unreliable
"Total"	"Alabama"	"01"	"Female"	"F"	"2012"	"2012"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"			73	2183862	3.3
"Total"	"Alabama"	"01"	"Female"	"F"	"2012"	"2012"					86	2183862	3.9
	"Alabama"	"01"	"Female"	"F"	"2013"	"2013"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"40-44 years"	"40-44"	15	161341	Unreliable
	"Alabama"	"01"	"Female"	"F"	"2013"	"2013"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"45-49 years"	"45-49"	11	163070	Unreliable
	"Alabama"	"01"	"Female"	"F"	"2013"	"2013"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"55-59 years"	"55-59"	13	173413	Unreliable
	"Alabama"	"01"	"Female"	"F"	"2013"	"2013"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"60-64 years "	"60-64"	12	152437	Unreliable
"Total"	"Alabama"	"01"	"Female"	"F"	"2013"	"2013"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"			81	2192391	3.7
"Total"	"Alabama"	"01"	"Female"	"F"	"2013"	"2013"					87	2192391	4.0
	"Alabama"	"01"	"Female"	"F"	"2014"	"2014"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"50-54 years"	"50-54"	14	177590	Unreliable
"Total"	"Alabama"	"01"	"Female"	"F"	"2014"	"2014"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"			76	2204319	3.4
"Total"	"Alabama"	"01"	"Female"	"F"	"2014"	"2014"					86	2204319	3.9
"Total"	"Alabama"	"01"	"Female"	"F"	"2015"	"2015"	"Intentional self-harm by handgun discharge"	"X72"			15	2211625	Unreliable
	"Alabama"	"01"	"Female"	"F"	"2015"	"2015"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"60-64 years "	"60-64"	12	158584	Unreliable
"Total"	"Alabama"	"01"	"Female"	"F"	"2015"	"2015"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"			75	2211625	3.4
"Total"	"Alabama"	"01"	"Female"	"F"	"2015"	"2015"					92	2211625	4.2
"Total"	"Alabama"	"01"	"Female"	"F"	"2016"	"2016"	"Intentional self-harm by handgun discharge"	"X72"			16	2215372	Unreliable
	"Alabama"	"01"	"Female"	"F"	"2016"	"2016"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"40-44 years"	"40-44"	11	151388	Unreliable
	"Alabama"	"01"	"Female"	"F"	"2016"	"2016"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"55-59 years"	"55-59"	15	176243	Unreliable
	"Alabama"	"01"	"Female"	"F"	"2016"	"2016"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"60-64 years "	"60-64"	10	161750	Unreliable
"Total"	"Alabama"	"01"	"Female"	"F"	"2016"	"2016"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"			90	2215372	4.1
"Total"	"Alabama"	"01"	"Female"	"F"	"2016"	"2016"					109	2215372	4.9
"Total"	"Alabama"	"01"	"Female"	"F"							460	11007569	4.2
"Total"	"Alabama"	"01"									460	11007569	4.2
"Total"	"Alaska"	"02"	"Female"	"F"	"2013"	"2013"	"Intentional self-harm by handgun discharge"	"X72"			12	297601	Unreliable
"Total"	"Alaska"	"02"	"Female"	"F"	"2013"	"2013"					17	297601	Unreliable
"Total"	"Alaska"	"02"	"Female"	"F"	"2014"	"2014"					11	297838	Unreliable
"Total"	"Alaska"	"02"	"Female"	"F"	"2015"	"2015"	"Intentional self-harm by handgun discharge"	"X72"			14	297511	Unreliable
"Total"	"Alaska"	"02"	"Female"	"F"	"2015"	"2015"					22	297511	7.4
"Total"	"Alaska"	"02"	"Female"	"F"	"2016"	"2016"					17	301598	Unreliable
"Total"	"Alaska"	"02"	"Female"	"F"							75	1493279	5.0
"Total"	"Alaska"	"02"									75	1493279	5.0
"Total"	"Arizona"	"04"	"Female"	"F"	"2012"	"2012"	"Intentional self-harm by handgun discharge"	"X72"			18	2855235	Unreliable
	"Arizona"	"04"	"Female"	"F"	"2012"	"2012"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"55-59 years"	"55-59"	12	207350	Unreliable
"Total"	"Arizona"	"04"	"Female"	"F"	"2012"	"2012"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"			71	2855235	2.5
"Total"	"Arizona"	"04"	"Female"	"F"	"2012"	"2012"					96	2855235	3.4
"Total"	"Arizona"	"04"	"Female"	"F"	"2013"	"2013"	"Intentional self-harm by handgun discharge"	"X72"			17	2894679	Unreliable
	"Arizona"	"04"	"Female"	"F"	"2013"	"2013"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"50-54 years"	"50-54"	10	218247	Unreliable
	"Arizona"	"04"	"Female"	"F"	"2013"	"2013"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"55-59 years"	"55-59"	13	211748	Unreliable
"Total"	"Arizona"	"04"	"Female"	"F"	"2013"	"2013"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"			78	2894679	2.7
"Total"	"Arizona"	"04"	"Female"	"F"	"2013"	"2013"					102	2894679	3.5
"Total"	"Arizona"	"04"	"Female"	"F"	"2014"	"2014"	"Intentional self-harm by handgun discharge"	"X72"			24	2950391	0.8
	"Arizona"	"04"	"Female"	"F"	"2014"	"2014"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"40-44 years"	"40-44"	12	209852	Unreliable
"Total"	"Arizona"	"04"	"Female"	"F"	"2014"	"2014"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"			86	2950391	2.9
"Total"	"Arizona"	"04"	"Female"	"F"	"2014"	"2014"					115	2950391	3.9
"Total"	"Arizona"	"04"	"Female"	"F"	"2015"	"2015"	"Intentional self-harm by handgun discharge"	"X72"			19	3001373	Unreliable
	"Arizona"	"04"	"Female"	"F"	"2015"	"2015"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"20-24 years"	"20-24"	10	234579	Unreliable
	"Arizona"	"04"	"Female"	"F"	"2015"	"2015"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"55-59 years"	"55-59"	13	220820	Unreliable
"Total"	"Arizona"	"04"	"Female"	"F"	"2015"	"2015"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"			95	3001373	3.2
"Total"	"Arizona"	"04"	"Female"	"F"	"2015"	"2015"					121	3001373	4.0
"Total"	"Arizona"	"04"	"Female"	"F"	"2016"	"2016"	"Intentional self-harm by handgun discharge"	"X72"			21	3050547	0.7
	"Arizona"	"04"	"Female"	"F"	"2016"	"2016"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"45-49 years"	"45-49"	10	211216	Unreliable
	"Arizona"	"04"	"Female"	"F"	"2016"	"2016"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"50-54 years"	"50-54"	17	215839	Unreliable
"Total"	"Arizona"	"04"	"Female"	"F"	"2016"	"2016"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"			90	3050547	3.0
"Total"	"Arizona"	"04"	"Female"	"F"	"2016"	"2016"					118	3050547	3.9
"Total"	"Arizona"	"04"	"Female"	"F"							552	14752225	3.7
"Total"	"Arizona"	"04"									552	14752225	3.7
"Total"	"Arkansas"	"05"	"Female"	"F"	"2012"	"2012"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"			35	1308129	2.7
"Total"	"Arkansas"	"05"	"Female"	"F"	"2012"	"2012"					39	1308129	3.0
"Total"	"Arkansas"	"05"	"Female"	"F"	"2013"	"2013"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"			36	1313711	2.7
"Total"	"Arkansas"	"05"	"Female"	"F"	"2013"	"2013"					48	1313711	3.7
